Country;University;Study Fields
Argentina;Universidad de San Martin, Buenos Aires;All Study Programs
Armenia;Russian-Armenian University, Yerevan;ICT, Economics, Management and Administration, Double Degree in M-DH
Aruba;University of Aruba, Oranjestad;Business, Tourism (Erasmus+)
Australia;University of the Sunshine Coast : Sippy Downs;Business, Tourism, Electrical and Civil Eng., Media Technology, Double Degree for IM & SIM (tuition fees!)
Austria;CAMPUS 02 Fachhochschule der Wirtschaft GmbH, Graz;Business Studies, ICTs, Eng./Eng.-Trades (Erasmus+)
Austria;IMC FH Krems - University of Applied Management Sciences;Business Double Degree for SIM (Erasmus+)
Austria;Fachhochschule Kärnten, Villach und Spittal;Economics, Eng./ Trades, Civil Eng., Mechanics (Erasmus+)
Austria;FH Campus Wien - University of Applied Sciences;Electrical Engineering, Mechatronics, ICT (Erasmus+)
Austria;FH Wien der WKW University of Applied Sciences for Management and Communication;Business and Administration (Erasmus+)
Belarus;Belarusian National Technical University, Minsk;Engineering, Business
Belarus;Belarus State Economic University, Minsk;Tourism
Belgium;Artevelde University College Gent;Business (Erasmus+ and RIBA), Eventmanagement, TM, Health Care
Belgium;Thomas More Kempen, Geel;Business Studies, Electrical Engineering (Erasmus+)
Belgium;University Colleges Leuven-Limburg;Business (Erasmus+)
Belgium;Thomas More Mechelen-Antwerpen;Tourism, Engineering Trades, ICT, Applied Psychology (Social & Behavioural Sciences) (Erasmus+)
Brazil;Universidade de Fortaleza;Business and Management Double Degree for IM & SIM (Erasmus+ for DD)
Brazil;Universidade de Ouro Preto;"Business & Economy, Tourism, Engineering, Health, Computer Science; Media Technology"
Brazil;Universidade Federal do Espírito Santo, Vitória;Electrical & Mechanical Engineering
Brazil;Universidade Sagrado Coracao, Bauro/ Sao Paulo;Engineering, International Relations, Computing, Media Technology
Bulgaria;American University in Bulgaria, Blagoevgrad;Business, Economics, Media, European Studies (Erasmus+)
Bulgaria;Technical University of Sofia at Plovdiv;Business and Management (Erasmus+)
Bulgaria;Angel Kanchev University of Ruse;Business, ICT, Media Technology (Erasmus+)
Bulgaria;University of Economics, Varna;Business, Tourism (Erasmus+)
Bulgaria;"Varna Free University ""Chernorizets Hrabar""";Tourism
Bulgaria;Prof. Dr. Asen Zlatarov University, Burgas;ICT (Erasmus+)
Canada;Lakehead University, Thunder Bay;Business, Engineering, Tourism, Computer Science, Media Studies (tuition fees!)
Canada;Douglas College, Vancouver;All Study Programmes (except for Health), focussed on Training Sciences
Chile;Universidad Austral de Chile, Valdivia;Business, Tourism, Engineering
Chile;Fundación Instituto Profesional Duoc Uc, Santiago;Business
Chile;Universidad Mayor, Santiago de Chile;Business, Civil Engineering
Chile;Universidad de Concepción;Engineering, Business
China;Shenzhen Technology University;Business, Engineering, Health
Colombia;Universidad Nacional de Colombia, Bogotá;Business, Engineering, ICT
Croatia;University of Zagreb;Business (Erasmus+)
Croatia;University of Osijek;Computer Science, Engineering, Communication Studies (Erasmus+)
Croatia;Algebra University College, Zagreb;Computer Science (Erasmus+)
Croatia;University of Rijeka, Opatija;Business
Cyprus;University of Nicosia;Business, Tourism, ICT, Sports, Psychology, Media, Engineering (Erasmus+)
Cyprus;Frederick University Cyprus, Limassol/Nicosia;Business, Engineering, ICT, Media (Erasmus+)
Czech Republic;Mendel University Brno;"Business, Economics; Double Degree for SIM (Erasmus+)"
Czech Republic;Tomas Bata University in Zlín;Engineering, Trades (Erasmus+)
Czech Republic;University of West Bohemia Plzen;"Business, Engineering, Health; Double Degree for Master ET and AI (Erasmus+)"
Czech Republic;Institute of Technology and Busines, ?eské Bud?jovice;Building and Civil Engineering, Business & Administration, Logistics, Mechanics (Erasmus+)
Czech Republic;University of South Bohemia, ?eské Bud?jovice;Business, Economics, Health (Erasmus+)
Czech Republic;University College Prague (früher: Institute of Hospitality Management);Tourism, Hospitality (Erasmus+)
Czech Republic;Metropolitan University Prague;Business, European Studies, Media Studies (Erasmus+)
Czech Republic;University of Economics, Prague;Tourism
Czech Republic;Czech Technical University, Prague;Health, ICT (Erasmus+)
Denmark;University of Southern Denmark, Odense;Engineering & ICT, Business Administration (Erasmus+)
Denmark;University College of Northern Denmark (UCN), Aalborg;Business (Erasmus+)
Ecuador;Universidad Internacional del Ecuador, Quito;Business, Tourism, Media Technology, ICT
Estonia;TTK University of Applied Sciences, Tallinn;Business, Engineering (Erasmus+)
Finland;Häme University of Applied Sciences, Hameenlina and Valkeakoski;Business, Engineering and Automation, Double Degree for IM (Erasmus+)
Finland;Lapland University of Applied Sciences in Tornio,Rovaniemi and Kemi ;Business Studies, Tourism, Computer Sciences (Erasmus+)
Finland;Satakunta University of Applied Sciences, Pori;Business (RIBA), Economics, Engineering, Tourism (Erasmus+)
Finland;Seinäjoki University of Applied Sciences;Engineering, Business (Erasmus+)
Finland;Savonia University of Applied Sciences, Kuopio;Health Sciences, Business, Engineering (Erasmus+)
Finland;Diaconia University of Applied Sciences , Helsinki;Health Sciences (Erasmus+)
France;Université de Savoie Mont Blanc, Chambéry;Business (Erasmus+), Double Degree for SIM
France;IDRAC International School of Management, Lyon / Paris;Business (Erasmus+) Double Degree for IM
France;ISEN, Brest;Engineering, ICT, Business (Erasmus+)
France;ICAM Strasbourg - Europe;Engineering (Erasmus+)
France;Université de Bourgogne, Dijon;Engineering/ Eng. Trades (Erasmus+)
France;Université de Nantes;Engineering/-Trades, ICT (Erasmus+)
France;Institut Superieur de Gestion (ISG), Paris;Business (Erasmus+)
Georgia;Guram Tavartkiladze Tbilisi Teaching University;Tourism
