0,1,2,3,4,0,1,2,3,4
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Semester,Countries (62),Partner Universities,Study fields and agreements,Study Language*,Semester
Countries (62),Partner Universities,Study fields and agreements,Study Language*,Semester,Countries (62),Partner Universities,Study fields and agreements,Study Language*,dates*
Countries (62),Partner Universities,Study fields and agreements,Study Language*,dates*,Countries (62),"Universidad de San Martin, Buenos Aires",Study fields and agreements,Study Language*,March - July
Countries (62),"Universidad de San Martin, Buenos Aires",Study fields and agreements,Study Language*,March - July,Argentina,"Universidad de San Martin, Buenos Aires",All Study Programs,Spanish (min. B1),March - July
Argentina,"Universidad de San Martin, Buenos Aires",All Study Programs,Spanish (min. B1),March - July,Argentina,www.unsam.edu.ar,All Study Programs,Spanish (min. B1),Aug - Dec
Argentina,www.unsam.edu.ar,All Study Programs,Spanish (min. B1),Aug - Dec,Argentina,"Russian-Armenian University, Yerevan","ICT, Economics, Management and",Spanish (min. B1),Sept - Jan
Argentina,"Russian-Armenian University, Yerevan","ICT, Economics, Management and",Spanish (min. B1),Sept - Jan,Armenia,"Russian-Armenian University, Yerevan","ICT, Economics, Management and",possibly English,Sept - Jan
Armenia,"Russian-Armenian University, Yerevan","ICT, Economics, Management and",possibly English,Sept - Jan,Armenia,Feb - Julyhttps://rau.am/en,"Administration, Double Degree in M-DH",possibly English,Sept - Jan
Armenia,Feb - Julyhttps://rau.am/en,"Administration, Double Degree in M-DH",possibly English,Sept - Jan,Armenia,"University of Aruba, Oranjestad","Administration, Double Degree in M-DH",possibly English,Aug - Jan
Armenia,"University of Aruba, Oranjestad","Administration, Double Degree in M-DH",possibly English,Aug - Jan,Aruba,"University of Aruba, Oranjestad","Business, Tourism (Erasmus+)",English,Aug - Jan
Aruba,"University of Aruba, Oranjestad","Business, Tourism (Erasmus+)",English,Aug - Jan,Aruba,Jan - Julywww.ua.aw,"Business, Tourism (Erasmus+)",English,Aug - Jan
Aruba,Jan - Julywww.ua.aw,"Business, Tourism (Erasmus+)",English,Aug - Jan,Aruba,University of the Sunshine Coast : Sippy Downs,"Business, Tourism, Electrical and Civil",English,July - Nov
Aruba,University of the Sunshine Coast : Sippy Downs,"Business, Tourism, Electrical and Civil",English,July - Nov,Australia,University of the Sunshine Coast : Sippy Downs,"Eng., Media Technology, Double Degree",English,July - Nov
Australia,University of the Sunshine Coast : Sippy Downs,"Eng., Media Technology, Double Degree",English,July - Nov,Australia,March - Junewww.usc.edu.au,for IM & SIM (tuition fees!),English,July - Nov
Australia,March - Junewww.usc.edu.au,for IM & SIM (tuition fees!),English,July - Nov,Australia,"CAMPUS 02 Fachhochschule der Wirtschaft GmbH, Graz",for IM & SIM (tuition fees!),English,July - Nov
Australia,"CAMPUS 02 Fachhochschule der Wirtschaft GmbH, Graz",for IM & SIM (tuition fees!),English,July - Nov,Australia,"CAMPUS 02 Fachhochschule der Wirtschaft GmbH, Graz","Business Studies, ICTs, Eng./Eng.-Trades","German,",Sept - Feb
Australia,"CAMPUS 02 Fachhochschule der Wirtschaft GmbH, Graz","Business Studies, ICTs, Eng./Eng.-Trades","German,",Sept - Feb,Austria,"CAMPUS 02 Fachhochschule der Wirtschaft GmbH, Graz","Business Studies, ICTs, Eng./Eng.-Trades","German,",Sept - Feb
Austria,"CAMPUS 02 Fachhochschule der Wirtschaft GmbH, Graz","Business Studies, ICTs, Eng./Eng.-Trades","German,",Sept - Feb,Austria,"CAMPUS 02 Fachhochschule der Wirtschaft GmbH, Graz",(Erasmus+),possibly English,Feb - Aug
Austria,"CAMPUS 02 Fachhochschule der Wirtschaft GmbH, Graz",(Erasmus+),possibly English,Feb - Aug,Austria,www.campus02.at/international,(Erasmus+),possibly English,Feb - Aug
Austria,www.campus02.at/international,(Erasmus+),possibly English,Feb - Aug,Austria,IMC FH Krems  - University of Applied Management,(Erasmus+),possibly English,Feb - Aug
Austria,IMC FH Krems  - University of Applied Management,(Erasmus+),possibly English,Feb - Aug,Austria,IMC FH Krems  - University of Applied Management,Business,possibly English,Sept - Jan
Austria,IMC FH Krems  - University of Applied Management,Business,possibly English,Sept - Jan,Austria,IMC FH Krems  - University of Applied Management,Business,"German, English",Sept - Jan
Austria,IMC FH Krems  - University of Applied Management,Business,"German, English",Sept - Jan,Austria,Scienceswww.imc-krems.ac.at,Double Degree for SIM (Erasmus+),"German, English",Feb - June
Austria,Scienceswww.imc-krems.ac.at,Double Degree for SIM (Erasmus+),"German, English",Feb - June,Austria,"Fachhochschule Kärnten, Villach  und Spittal",Double Degree for SIM (Erasmus+),"German, English",Feb - June
Austria,"Fachhochschule Kärnten, Villach  und Spittal",Double Degree for SIM (Erasmus+),"German, English",Feb - June,Austria,"Fachhochschule Kärnten, Villach  und Spittal","Economics, Eng./ Trades, Civil Eng.,","German,",Oct - Feb
Austria,"Fachhochschule Kärnten, Villach  und Spittal","Economics, Eng./ Trades, Civil Eng.,","German,",Oct - Feb,Austria,"Fachhochschule Kärnten, Villach  und Spittal",Mechanics (Erasmus+),English (Master),March - Sept
Austria,"Fachhochschule Kärnten, Villach  und Spittal",Mechanics (Erasmus+),English (Master),March - Sept,Austria,www.fh-kaernten.at,Mechanics (Erasmus+),English (Master),March - Sept
Austria,www.fh-kaernten.at,Mechanics (Erasmus+),English (Master),March - Sept,Austria,FH Campus Wien  - University of Applied Sciences,"Electrical Engineering, Mechatronics, ICT","German,",Sept - Feb
Austria,FH Campus Wien  - University of Applied Sciences,"Electrical Engineering, Mechatronics, ICT","German,",Sept - Feb,Austria,Feb - Julywww.fh-campuswien.ac.at,(Erasmus+),English,Sept - Feb
Austria,Feb - Julywww.fh-campuswien.ac.at,(Erasmus+),English,Sept - Feb,Austria,FH Wien  der WKW University of Applied Sciences for,(Erasmus+),English,Sept - Feb
Austria,FH Wien  der WKW University of Applied Sciences for,(Erasmus+),English,Sept - Feb,Austria,FH Wien  der WKW University of Applied Sciences for,Business and Administration,English,Sept - Jan
Austria,FH Wien  der WKW University of Applied Sciences for,Business and Administration,English,Sept - Jan,Austria,FH Wien  der WKW University of Applied Sciences for,Business and Administration,"German, English",Sept - Jan
